栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00368217,8.0,0.00241905,0.656963
-9.9,0.0033773,8.0,0.00223342,0.661303
-9.7,0.00329781,8.0,0.00220605,0.668944
-9.6,0.00321409,8.0,0.00215688,0.67107
-9.4,0.00315054,8.0,0.00212278,0.673783
-9.3,0.00312428,8.0,0.00211354,0.676489
-9.1,0.00309743,8.0,0.00209536,0.676483
-9.0,0.00302934,8.0,0.00205065,0.67693
-8.9,0.00291638,8.0,0.00199264,0.683258
-8.7,0.00286416,8.0,0.00197434,0.689326
-8.6,0.0028354,8.0,0.0019601,0.691296
-8.4,0.00282525,8.0,0.00197041,0.697429
-8.3,0.00280174,8.0,0.00200481,0.715559
-8.2,0.00276069,8.0,0.00208331,0.754634
-8.0,0.00274953,8.0,0.00232164,0.844377
-7.9,0.00276254,8.0,0.00278763,1.00908
-7.7,0.00274595,8.0,0.00351406,1.27972
-7.6,0.00272124,8.0,0.00453473,1.66642
-7.5,0.00268239,8.0,0.00578831,2.15789
-7.3,0.00266921,8.0,0.00724874,2.71569
-7.2,0.00265298,8.0,0.00887238,3.34431
-7.0,0.00263281,8.0,0.0106206,4.03394
-6.9,0.00262075,8.0,0.0125119,4.77417
-6.7,0.00260309,8.0,0.0144711,5.5592
-6.6,0.00251799,8.0,0.0164217,6.52175
-6.5,0.00249902,8.0,0.0184247,7.37277
-6.3,0.00249609,8.0,0.0204892,8.20852
-6.2,0.002473,8.0,0.0225654,9.12471
-6.0,0.0024619,8.0,0.0247264,10.0436
-5.9,0.0024477,8.0,0.0268719,10.9784
-5.8,0.00241094,8.0,0.0289993,12.0282
-5.6,0.00238009,8.0,0.0311003,13.0669
-5.5,0.00234386,8.0,0.0332326,14.1786
-5.3,0.00231809,8.0,0.0353957,15.2693
-5.2,0.00229654,8.0,0.037636,16.3881
-5.0,0.00228825,8.0,0.0398559,17.4176
-4.9,0.00226313,8.0,0.0420583,18.5841
-4.8,0.00222762,8.0,0.0442171,19.8495
-4.6,0.00220262,8.0,0.0464135,21.072
-4.5,0.00217535,8.0,0.0486467,22.3627
-4.3,0.0021945,8.0,0.0509717,23.227
-4.2,0.00216938,8.0,0.0532422,24.5426
-4.1,0.00214229,8.0,0.0554305,25.8744
-3.9,0.0021362,8.0,0.0576478,26.9861
-3.8,0.00213143,8.0,0.0598966,28.1016
-3.6,0.00212719,8.0,0.0621395,29.212
-3.5,0.00208536,8.0,0.0643422,30.8542
-3.4,0.00205504,8.0,0.0665139,32.3662
-3.2,0.00203702,8.0,0.0686427,33.6976
-3.1,0.00200128,8.0,0.0707181,35.3364
-2.9,0.00198015,8.0,0.0727756,36.7526
-2.8,0.00196446,8.0,0.07483,38.0919
-2.6,0.0019459,8.0,0.0768495,39.493
-2.5,0.00193868,8.0,0.0788554,40.6748
-2.4,0.00191845,8.0,0.0807919,42.1131
-2.2,0.00189046,8.0,0.0826446,43.7167
-2.1,0.00187704,8.0,0.0844921,45.0135
-1.9,0.0018435,8.0,0.0862661,46.7947
-1.8,0.00181671,8.0,0.0880314,48.4565
-1.7,0.00179725,8.0,0.089737,49.9302
-1.5,0.00177428,8.0,0.0914017,51.5148
-1.4,0.00175512,8.0,0.092963,52.9667
-1.2,0.00173233,8.0,0.0944623,54.529
-1.1,0.00170559,8.0,0.0959354,56.2476
-0.9,0.00168292,8.0,0.0973618,57.8529
-0.8,0.00165636,8.0,0.0987296,59.6064
-0.7,0.00164222,8.0,0.100029,60.9108
-0.5,0.00161143,8.0,0.10121,62.8076
-0.4,0.00158452,8.0,0.102328,64.5798
-0.2,0.00156906,8.0,0.103388,65.8917
-0.1,0.00155456,8.0,0.104391,67.1515
0.0,0.00157544,8.0,0.105341,66.8645
0.2,0.00155073,8.0,0.106194,68.48
0.3,0.00151057,8.0,0.106937,70.7925
0.5,0.00148748,8.0,0.107631,72.3579
0.6,0.0014441,8.0,0.108269,74.9733
0.7,0.00140215,8.0,0.108867,77.6429
0.9,0.00137273,8.0,0.109419,79.709
1.0,0.00133263,8.0,0.109903,82.4708
1.2,0.00129683,8.0,0.110326,85.0736
1.3,0.00125769,8.0,0.110709,88.0257
1.5,0.00121639,8.0,0.111051,91.2956
1.6,0.00117027,8.0,0.111373,95.1686
1.7,0.00113029,8.0,0.111661,98.7897
1.9,0.0010844,8.0,0.111914,103.204
2.0,0.00105152,8.0,0.112124,106.63
2.2,0.00101906,8.0,0.112318,110.217
2.3,0.000967324,8.0,0.112495,116.295
2.4,0.000979974,8.0,0.11271,115.013
2.6,0.00100981,8.0,0.112924,111.827
2.7,0.000976812,8.0,0.113049,115.733
2.9,0.000928538,8.0,0.11315,121.858
3.0,0.000889751,8.0,0.113246,127.278
3.2,0.000852636,8.0,0.11354,133.164
3.3,0.000811343,8.0,0.113666,140.096
3.4,0.000777688,8.0,0.113706,146.21
3.6,0.000807524,8.0,0.113817,140.946
3.7,0.000582742,8.0,0.113872,195.407
3.9,0.000352172,8.0,0.113852,323.285
4.0,0.000345787,8.0,0.114492,331.106
