栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.0028903,0.0,0.00172594,0.597149
-10.0,0.00288618,0.5,0.00175956,0.60965
-10.0,0.00281797,1.0,0.00173786,0.616706
-10.0,0.00280282,1.5,0.00175461,0.626016
-10.0,0.00275359,2.0,0.00171766,0.623789
-10.0,0.0027429,2.5,0.00172982,0.630654
-10.0,0.00272733,3.0,0.00172481,0.632417
-10.0,0.00279506,3.5,0.00176672,0.632087
-10.0,0.00278909,4.0,0.00178043,0.638355
-10.0,0.00280383,4.5,0.00180737,0.644608
-10.0,0.00278712,5.0,0.00180791,0.648666
-10.0,0.00280729,5.5,0.0018268,0.650734
-10.0,0.00281785,6.0,0.00184666,0.655344
-10.0,0.00284011,6.5,0.00187622,0.660615
-10.0,0.0028678,7.0,0.00190704,0.664984
-10.0,0.00286804,7.5,0.00192355,0.670685
-10.0,0.00288523,8.0,0.00194442,0.673922
-10.0,0.00289412,8.5,0.00195914,0.676938
-10.0,0.00288684,9.0,0.00196779,0.681642
-10.0,0.00291094,9.5,0.00199956,0.686912
-10.0,0.00290874,10.0,0.00200749,0.690158
-9.0,0.00227106,0.0,0.0013517,0.595185
-9.0,0.00229052,0.5,0.00138323,0.603893
-9.0,0.00232322,1.0,0.0014193,0.610919
-9.0,0.00236338,1.5,0.0014674,0.62089
-9.0,0.00238295,2.0,0.00149399,0.62695
-9.0,0.00242377,2.5,0.00153816,0.634615
-9.0,0.00246405,3.0,0.00158186,0.641976
-9.0,0.00249496,3.5,0.00161769,0.648383
-9.0,0.00250254,4.0,0.00163539,0.653492
-9.0,0.00251859,4.5,0.00166025,0.659198
-9.0,0.002531,5.0,0.00167962,0.663619
-9.0,0.00254156,5.5,0.00170025,0.668979
-9.0,0.00258817,6.0,0.001748,0.675381
-9.0,0.00260595,6.5,0.00177488,0.681088
-9.0,0.00259593,7.0,0.00178543,0.68778
-9.0,0.00262266,7.5,0.00182227,0.694817
-9.0,0.00263836,8.0,0.00185989,0.704942
-9.0,0.00266145,8.5,0.00189452,0.711838
-9.0,0.00268532,9.0,0.0019263,0.717345
-9.0,0.00270227,9.5,0.00196296,0.726411
-9.0,0.00272697,10.0,0.00200761,0.736205
-8.0,0.00205009,0.0,0.00123075,0.600339
-8.0,0.00208482,0.5,0.00134162,0.643518
-8.0,0.00213572,1.0,0.00144237,0.675355
-8.0,0.00217427,1.5,0.00154705,0.711526
-8.0,0.0022022,2.0,0.00165882,0.753256
-8.0,0.00223603,2.5,0.00179211,0.80147
-8.0,0.00225901,3.0,0.00194758,0.862139
-8.0,0.00229165,3.5,0.0021291,0.929069
-8.0,0.00231803,4.0,0.00233106,1.00562
-8.0,0.00233277,4.5,0.00250012,1.07174
-8.0,0.00235908,5.0,0.00267234,1.13279
-8.0,0.0023879,5.5,0.00285529,1.19573
-8.0,0.00242025,6.0,0.00303812,1.25529
-8.0,0.00243481,6.5,0.00321647,1.32104
-8.0,0.00245474,7.0,0.00340157,1.38571
-8.0,0.00248153,7.5,0.0035835,1.44407
-8.0,0.00248863,8.0,0.00376472,1.51277
-8.0,0.00250827,8.5,0.00395477,1.57669
-8.0,0.00252897,9.0,0.00415578,1.64327
-8.0,0.00255099,9.5,0.00437098,1.71344
-8.0,0.00256591,10.0,0.00462916,1.8041
-7.0,0.00179379,0.0,0.00127218,0.709213
-7.0,0.00183413,0.5,0.00525746,2.86646
-7.0,0.00189267,1.0,0.00676469,3.57415
-7.0,0.0019576,1.5,0.00782566,3.99758
-7.0,0.00201238,2.0,0.00873396,4.34011
-7.0,0.00204752,2.5,0.00956525,4.67163
-7.0,0.00207736,3.0,0.0103508,4.98267
-7.0,0.00211358,3.5,0.0110727,5.23884
-7.0,0.00214455,4.0,0.0116939,5.45285
-7.0,0.00218346,4.5,0.0122423,5.60684
-7.0,0.00221103,5.0,0.0127345,5.75953
-7.0,0.00224624,5.5,0.0132194,5.88512
-7.0,0.00228455,6.0,0.0136659,5.98188
-7.0,0.00230872,6.5,0.014068,6.09342
-7.0,0.00232919,7.0,0.0144472,6.20267
-7.0,0.00234894,7.5,0.0148216,6.30991
-7.0,0.00236881,8.0,0.0151711,6.40452
-7.0,0.00239322,8.5,0.0154864,6.47095
-7.0,0.00241893,9.0,0.0158161,6.53847
-7.0,0.00243857,9.5,0.0161372,6.61748
-7.0,0.00245253,10.0,0.0164307,6.69949
-6.0,0.001511,0.0,0.00123271,0.815824
-6.0,0.00158493,0.5,0.00987243,6.22894
-6.0,0.00166185,1.0,0.0164586,9.90378
-6.0,0.00173495,1.5,0.0198317,11.4307
-6.0,0.00180817,2.0,0.0218744,12.0975
-6.0,0.00185949,2.5,0.0234054,12.587
-6.0,0.00189082,3.0,0.0246113,13.0162
-6.0,0.00192877,3.5,0.025631,13.2888
-6.0,0.00195628,4.0,0.026498,13.5451
-6.0,0.00199841,4.5,0.027216,13.6188
-6.0,0.00203273,5.0,0.0278466,13.6991
-6.0,0.00206358,5.5,0.0284414,13.7826
-6.0,0.00208208,6.0,0.0289552,13.9069
-6.0,0.00211245,6.5,0.029419,13.9265
-6.0,0.00213966,7.0,0.0298437,13.9479
-6.0,0.00216526,7.5,0.0302387,13.9654
-6.0,0.00219092,8.0,0.0305779,13.9566
-6.0,0.00221783,8.5,0.0308885,13.9274
-6.0,0.00223914,9.0,0.0311611,13.9165
