栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00354934,5.0,0.00226996,0.639544
-9.9,0.00328761,5.0,0.00213178,0.648428
-9.7,0.00319881,5.0,0.0020851,0.651836
-9.6,0.00312696,5.0,0.00204671,0.654537
-9.4,0.00307726,5.0,0.002024,0.657728
-9.3,0.00306771,5.0,0.00202227,0.659212
-9.1,0.00302773,5.0,0.00199908,0.660257
-9.0,0.00298798,5.0,0.00197649,0.66148
-8.9,0.00296746,5.0,0.00197667,0.666115
-8.7,0.00292479,5.0,0.00196779,0.672797
-8.6,0.00288475,5.0,0.00195378,0.677279
-8.4,0.00283367,5.0,0.00195598,0.690264
-8.3,0.00279052,5.0,0.00201029,0.7204
-8.2,0.00277555,5.0,0.00218316,0.786568
-8.0,0.00276379,5.0,0.00252104,0.912168
-7.9,0.00273729,5.0,0.0030777,1.12436
-7.7,0.00270817,5.0,0.00389092,1.43673
-7.6,0.00267428,5.0,0.00498081,1.86249
-7.5,0.00264074,5.0,0.0063055,2.38778
-7.3,0.00262415,5.0,0.00783806,2.98689
-7.2,0.00259324,5.0,0.00951941,3.67086
-7.0,0.00256496,5.0,0.0113244,4.41504
-6.9,0.00254628,5.0,0.013242,5.20053
-6.7,0.00249914,5.0,0.0152019,6.08285
-6.6,0.00246858,5.0,0.017257,6.99066
-6.5,0.00242795,5.0,0.0193513,7.97022
-6.3,0.00241249,5.0,0.0215054,8.91419
-6.2,0.0023916,5.0,0.0236868,9.90416
-6.0,0.00236606,5.0,0.0258948,10.9443
-5.9,0.0023336,5.0,0.0281288,12.0538
-5.8,0.00229213,5.0,0.0303698,13.2496
-5.6,0.00225793,5.0,0.0326409,14.4561
-5.5,0.00222058,5.0,0.0348784,15.7069
-5.3,0.00218907,5.0,0.0371931,16.9904
-5.2,0.00215386,5.0,0.0395491,18.362
-5.0,0.00212253,5.0,0.0418271,19.7062
-4.9,0.00210284,5.0,0.0441557,20.9981
-4.8,0.00206435,5.0,0.0464489,22.5005
-4.6,0.00203881,5.0,0.0487543,23.9131
-4.5,0.00200128,5.0,0.0510399,25.5036
-4.3,0.00196261,5.0,0.0532993,27.1574
-4.2,0.00193206,5.0,0.0555447,28.749
-4.1,0.00190455,5.0,0.0578423,30.3706
-3.9,0.00187781,5.0,0.0600349,31.9707
-3.8,0.00185096,5.0,0.0621542,33.5794
-3.6,0.00181581,5.0,0.0642555,35.3867
-3.5,0.00178699,5.0,0.0664183,37.1677
-3.4,0.00175488,5.0,0.0684999,39.034
-3.2,0.00172123,5.0,0.0705166,40.9687
-3.1,0.00168835,5.0,0.072476,42.9271
-2.9,0.00165057,5.0,0.0744513,45.1064
-2.8,0.00160922,5.0,0.076329,47.4323
-2.6,0.0015696,5.0,0.0781424,49.7849
-2.5,0.00153361,5.0,0.0799136,52.1082
-2.4,0.0014919,5.0,0.0816095,54.7017
-2.2,0.00145353,5.0,0.083207,57.2448
-2.1,0.00140633,5.0,0.0847775,60.2828
-1.9,0.00137178,5.0,0.0862473,62.8725
-1.8,0.00132816,5.0,0.0876582,65.9997
-1.7,0.0012905,5.0,0.0889676,68.9404
-1.5,0.00125249,5.0,0.0901772,71.9983
-1.4,0.00120332,5.0,0.0913534,75.9178
-1.2,0.00115713,5.0,0.0924344,79.8825
-1.1,0.00111685,5.0,0.0934178,83.644
-0.9,0.00106816,5.0,0.0943399,88.32
-0.8,0.0010212,5.0,0.0951781,93.2022
-0.7,0.000978707,5.0,0.0959087,97.9953
-0.5,0.000936697,5.0,0.096564,103.09
-0.4,0.000892061,5.0,0.0972176,108.981
-0.2,0.000851304,5.0,0.0978059,114.89
-0.1,0.000807563,5.0,0.0983168,121.745
0.0,0.000842134,5.0,0.0988176,117.342
0.2,0.000794396,5.0,0.0991923,124.865
0.3,0.000769513,5.0,0.0995888,129.418
0.5,0.000722134,5.0,0.099924,138.373
0.6,0.00067744,5.0,0.100245,147.976
0.7,0.000634596,5.0,0.100533,158.42
0.9,0.000589902,5.0,0.100769,170.823
1.0,0.000549207,5.0,0.10099,183.883
1.2,0.000507616,5.0,0.101234,199.43
1.3,0.000467516,5.0,0.101465,217.03
1.5,0.000429864,5.0,0.101662,236.498
1.6,0.000389347,5.0,0.101846,261.582
1.7,0.000344772,5.0,0.101973,295.769
1.9,0.000317562,5.0,0.102127,321.597
2.0,0.000284743,5.0,0.102304,359.285
2.2,0.00026529,5.0,0.102515,386.426
2.3,0.000230919,5.0,0.102748,444.953
2.4,0.000191059,5.0,0.10287,538.42
2.6,0.00014732,5.0,0.102962,698.9
2.7,0.000110681,5.0,0.103016,930.747
2.9,6.53908e-5,5.0,0.10311,1576.83
3.0,2.79768e-5,5.0,0.10318,3688.06
3.2,1.57027e-5,5.0,0.103256,6575.68
3.3,3.66473e-5,5.0,0.103354,2820.24
3.4,9.52446e-5,5.0,0.10343,1085.94
3.6,1.77133e-5,5.0,0.103693,5853.96
3.7,5.42104e-6,5.0,0.103826,19152.4
3.9,0.000173235,5.0,0.103933,599.954
4.0,1.63409e-5,5.0,0.104213,6377.43
