栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00364004,0.0,0.0022857,0.627933
-10.0,0.00350046,0.5,0.0022274,0.636316
-10.0,0.00342987,1.0,0.00220325,0.642371
-10.0,0.00340666,1.5,0.00221237,0.649425
-10.0,0.00337383,2.0,0.00220504,0.653572
-10.0,0.00336429,2.5,0.0022172,0.65904
-10.0,0.00336506,3.0,0.00223318,0.663637
-10.0,0.00329292,3.5,0.00221649,0.673108
-10.0,0.00328456,4.0,0.00222102,0.6762
-10.0,0.00326815,4.5,0.00222346,0.680342
-10.0,0.00327018,5.0,0.00223771,0.684277
-10.0,0.00327627,5.5,0.00225255,0.687535
-10.0,0.00327871,6.0,0.00226477,0.69075
-10.0,0.00322053,6.5,0.00221983,0.689275
-10.0,0.0032083,7.0,0.00221494,0.690378
-10.0,0.00321385,7.5,0.00222549,0.692469
-10.0,0.00323241,8.0,0.00224176,0.693526
-10.0,0.00322256,8.5,0.00224576,0.696887
-10.0,0.00324912,9.0,0.00227228,0.699352
-10.0,0.00330318,9.5,0.00233732,0.707597
-10.0,0.00315823,10.0,0.00219473,0.694924
-9.0,0.00248559,0.0,0.00152249,0.612527
-9.0,0.00249168,0.5,0.00153536,0.616195
-9.0,0.00255726,1.0,0.00159879,0.625196
-9.0,0.00260416,1.5,0.0016497,0.633486
-9.0,0.0026451,2.0,0.00168946,0.638713
-9.0,0.00268991,2.5,0.00172916,0.642832
-9.0,0.00274535,3.0,0.00177804,0.647655
-9.0,0.00276916,3.5,0.00180815,0.65296
-9.0,0.00279583,4.0,0.00183759,0.657261
-9.0,0.00282084,4.5,0.00187086,0.663228
-9.0,0.00283713,5.0,0.00189399,0.667573
-9.0,0.00287616,5.5,0.00193405,0.672442
-9.0,0.00290784,6.0,0.00196904,0.677149
-9.0,0.00292282,6.5,0.00198907,0.680531
-9.0,0.002944,7.0,0.00201828,0.685557
-9.0,0.00297599,7.5,0.00204683,0.687781
-9.0,0.00300171,8.0,0.00207264,0.690486
-9.0,0.00299783,8.5,0.00207759,0.693031
-9.0,0.00302104,9.0,0.00210454,0.696628
-9.0,0.00303721,9.5,0.00212528,0.699747
-9.0,0.00304867,10.0,0.00214418,0.703317
-8.0,0.00226539,0.0,0.0013787,0.608593
-8.0,0.00227625,0.5,0.00141995,0.623811
-8.0,0.00232256,1.0,0.00148243,0.638274
-8.0,0.0023783,1.5,0.00155784,0.655022
-8.0,0.00242478,2.0,0.00162877,0.671719
-8.0,0.00248452,2.5,0.00172016,0.692351
-8.0,0.00252891,3.0,0.00179646,0.710369
-8.0,0.00256585,3.5,0.00188236,0.73362
-8.0,0.00260786,4.0,0.0019837,0.760662
-8.0,0.00263967,4.5,0.00209112,0.79219
-8.0,0.00265847,5.0,0.00219276,0.82482
-8.0,0.00268944,5.5,0.00229774,0.854356
-8.0,0.0027068,6.0,0.00237875,0.878805
-8.0,0.00272309,6.5,0.00244557,0.898086
-8.0,0.00271659,7.0,0.00250644,0.922642
-8.0,0.00275048,7.5,0.00260146,0.94582
-8.0,0.00281123,8.0,0.00273374,0.972436
-8.0,0.00283444,8.5,0.00282053,0.995093
-8.0,0.00286732,9.0,0.00291317,1.01599
-8.0,0.00287997,9.5,0.0029918,1.03883
-8.0,0.00290707,10.0,0.00308628,1.06165
-7.0,0.00203279,0.0,0.00141715,0.697145
-7.0,0.0020884,0.5,0.00413384,1.97943
-7.0,0.00215589,1.0,0.00512846,2.37881
-7.0,0.00222159,1.5,0.00580309,2.61213
-7.0,0.00225024,2.0,0.00637191,2.83166
-7.0,0.00228813,2.5,0.00690525,3.01786
-7.0,0.00233408,3.0,0.00742853,3.18264
-7.0,0.00236224,3.5,0.00793457,3.35892
-7.0,0.00240539,4.0,0.00845671,3.51573
-7.0,0.00243063,4.5,0.00895805,3.68548
-7.0,0.00246196,5.0,0.00947321,3.84783
-7.0,0.0025023,5.5,0.00984948,3.93617
