栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00278259,0.8,0.00176266,0.63346
-9.9,0.00259181,0.8,0.00163253,0.62988
-9.7,0.0025393,0.8,0.0016069,0.632812
-9.6,0.00250433,0.8,0.00157614,0.629366
-9.5,0.00247926,0.8,0.00155605,0.627627
-9.3,0.00244937,0.8,0.00154037,0.628884
-9.2,0.00241744,0.8,0.00151957,0.628586
-9.1,0.00238218,0.8,0.00149405,0.627178
-8.9,0.00236141,0.8,0.00147986,0.626685
-8.8,0.00233473,0.8,0.00146621,0.628
-8.7,0.00229881,0.8,0.00145346,0.632266
-8.6,0.00226641,0.8,0.00142913,0.63057
-8.4,0.00224493,0.8,0.00141334,0.62957
-8.3,0.00222702,0.8,0.00139939,0.628369
-8.2,0.00220142,0.8,0.00138681,0.629962
-8.0,0.00217851,0.8,0.00138997,0.638037
-7.9,0.00215118,0.8,0.00141238,0.656561
-7.8,0.00212964,0.8,0.00148642,0.697968
-7.6,0.00210469,0.8,0.00165405,0.785888
-7.5,0.00207599,0.8,0.0019508,0.939696
-7.4,0.00204412,0.8,0.00239795,1.1731
-7.2,0.0020187,0.8,0.00300062,1.48641
-7.1,0.00199155,0.8,0.00374255,1.87921
-7.0,0.00195527,0.8,0.00459333,2.3492
-6.8,0.00193361,0.8,0.00553019,2.86003
-6.7,0.00188855,0.8,0.0064925,3.43782
-6.6,0.00184786,0.8,0.00751103,4.06472
-6.5,0.0018114,0.8,0.00853546,4.71208
-6.3,0.00177738,0.8,0.0095457,5.37066
-6.2,0.00173871,0.8,0.0105206,6.05081
-6.1,0.00169545,0.8,0.011416,6.73332
-5.9,0.00166012,0.8,0.0122502,7.37911
-5.8,0.00162193,0.8,0.0129919,8.01015
-5.7,0.00158076,0.8,0.0136664,8.64546
-5.5,0.00153708,0.8,0.0142647,9.28039
-5.4,0.00149381,0.8,0.0147864,9.89845
-5.3,0.00145323,0.8,0.0152306,10.4805
-5.1,0.00141224,0.8,0.0156171,11.0584
-5.0,0.00137249,0.8,0.0159468,11.6189
-4.9,0.00133448,0.8,0.0162352,12.1659
-4.7,0.00128662,0.8,0.0164818,12.8102
-4.6,0.00124187,0.8,0.0166951,13.4435
-4.5,0.00120093,0.8,0.0168775,14.0537
-4.4,0.00115618,0.8,0.0170309,14.7303
-4.2,0.00110921,0.8,0.0171669,15.4767
-4.1,0.00106488,0.8,0.0172872,16.2339
-4.0,0.00102006,0.8,0.0174,17.0578
-3.8,0.000977454,0.8,0.0174961,17.8997
-3.7,0.000935623,0.8,0.0175789,18.7884
-3.6,0.000891763,0.8,0.0176519,19.7944
-3.4,0.000851781,0.8,0.0177207,20.8043
-3.3,0.000811144,0.8,0.0177815,21.9215
-3.2,0.000771222,0.8,0.017839,23.1308
-3.0,0.00073124,0.8,0.0178905,24.466
-2.9,0.000691856,0.8,0.0179358,25.9242
-2.8,0.000655216,0.8,0.0179777,27.4378
-2.6,0.000617025,0.8,0.0180147,29.1961
-2.5,0.000580683,0.8,0.0180522,31.0879
-2.4,0.000545416,0.8,0.0180943,33.1752
-2.3,0.000509313,0.8,0.0181272,35.5915
-2.1,0.000475538,0.8,0.0181567,38.1814
-2.0,0.00044415,0.8,0.018184,40.9411
-1.9,0.000411031,0.8,0.0182087,44.3001
-1.7,0.000381373,0.8,0.0182379,47.8217
-1.6,0.000352192,0.8,0.018264,51.8581
-1.5,0.000323788,0.8,0.0182865,56.4768
-1.3,0.00029586,0.8,0.018307,61.8772
-1.2,0.000269843,0.8,0.0183273,67.9184
-1.1,0.000244481,0.8,0.0183468,75.0439
-0.9,0.000219179,0.8,0.0183669,83.7986
-0.8,0.00019531,0.8,0.0183858,94.1365
-0.7,0.000173171,0.8,0.0184067,106.292
-0.5,0.000152405,0.8,0.0184205,120.865
-0.4,0.000131519,0.8,0.0184339,140.161
-0.3,0.000111767,0.8,0.0184498,165.074
-0.1,9.30291e-5,0.8,0.0184665,198.502
0.0,7.5664e-5,0.8,0.0184801,244.239
0.1,9.63006e-5,0.8,0.0184962,192.067
0.2,7.52962e-5,0.8,0.0185048,245.76
0.4,5.19647e-5,0.8,0.0185126,356.253
0.5,2.79768e-5,0.8,0.0185192,661.948
0.6,3.76836e-6,0.8,0.0185242,4915.72
0.8,4.72092e-5,0.8,0.0185225,392.349
0.9,0.000110162,0.8,0.0185077,168.004
1.0,0.000201997,0.8,0.0184739,91.4563
1.2,0.000325636,0.8,0.0184203,56.5671
1.3,0.00049015,0.8,0.0183415,37.4202
1.4,0.000734445,0.8,0.0182208,24.8089
1.6,0.000991987,0.8,0.0181178,18.2642
1.7,0.0010831,0.8,0.0181236,16.7331
1.8,0.00127757,0.8,0.0182358,14.2738
1.9,0.00154299,0.8,0.0182744,11.8435
2.1,0.0018321,0.8,0.0182088,9.93876
2.2,0.00196421,0.8,0.0181547,9.24275
2.3,0.00215337,0.8,0.0180857,8.39879
2.5,0.00259822,0.8,0.0177022,6.8132
2.6,0.00301294,0.8,0.0173772,5.76752
2.7,0.00261451,0.8,0.0178354,6.8217
2.9,0.00237422,0.8,0.0180724,7.61193
3.0,0.00247094,0.8,0.0180472,7.30378
