栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00278485,5.0,0.00180624,0.648595
-9.9,0.00270435,5.0,0.00175163,0.647708
-9.8,0.00271086,5.0,0.00175742,0.648289
-9.6,0.00269886,5.0,0.001757,0.651016
-9.5,0.00267971,5.0,0.00174728,0.652041
-9.4,0.00267237,5.0,0.00174227,0.651957
-9.3,0.00265638,5.0,0.00173274,0.652294
-9.1,0.0026482,5.0,0.00173286,0.654354
-9.0,0.00263364,5.0,0.00172821,0.656206
-8.9,0.00262708,5.0,0.00172624,0.657095
-8.8,0.00259223,5.0,0.00171038,0.65981
-8.7,0.00257492,5.0,0.00170585,0.662487
-8.5,0.00256346,5.0,0.00170156,0.663775
-8.4,0.00254288,5.0,0.00170067,0.668797
-8.3,0.0025162,5.0,0.00171569,0.681858
-8.2,0.00250081,5.0,0.00177703,0.710582
-8.1,0.00248171,5.0,0.00190651,0.768224
-7.9,0.00246369,5.0,0.00215813,0.875975
-7.8,0.00243887,5.0,0.00252778,1.03646
-7.7,0.00240563,5.0,0.0030718,1.27692
-7.6,0.00238886,5.0,0.0038077,1.59394
-7.5,0.00237949,5.0,0.0047274,1.98673
-7.3,0.00235282,5.0,0.00576488,2.4502
-7.2,0.00232119,5.0,0.00690084,2.97298
-7.1,0.00230269,5.0,0.0080935,3.5148
-7.0,0.00228538,5.0,0.00941616,4.12017
-6.8,0.00227321,5.0,0.0108178,4.75882
-6.7,0.00224636,5.0,0.0122512,5.4538
-6.6,0.00221867,5.0,0.0137743,6.20836
-6.5,0.00220542,5.0,0.0153542,6.96203
-6.4,0.00218239,5.0,0.016851,7.72135
-6.2,0.00216007,5.0,0.01849,8.55991
-6.1,0.00214885,5.0,0.0202017,9.40117
-6.0,0.00213495,5.0,0.021927,10.2705
-5.9,0.00210493,5.0,0.0236499,11.2355
-5.8,0.00207503,5.0,0.025421,12.2509
-5.6,0.00205475,5.0,0.0271184,13.1979
-5.5,0.00202222,5.0,0.0288885,14.2855
-5.4,0.00200277,5.0,0.0307227,15.3401
-5.3,0.00198027,5.0,0.0325863,16.4555
-5.1,0.00196965,5.0,0.0344655,17.4983
-5.0,0.00195306,5.0,0.0363441,18.6088
-4.9,0.00192597,5.0,0.038152,19.8092
-4.8,0.00190514,5.0,0.0400311,21.0122
-4.7,0.00188175,5.0,0.041916,22.275
-4.5,0.0018574,5.0,0.0438098,23.5866
-4.4,0.0018438,5.0,0.045726,24.7999
-4.3,0.00181987,5.0,0.0476368,26.1759
-4.2,0.00179522,5.0,0.0494718,27.5575
-4.1,0.00177762,5.0,0.0513757,28.9014
-3.9,0.00175482,5.0,0.0532654,30.3538
-3.8,0.0017374,5.0,0.0551513,31.7436
-3.7,0.00172636,5.0,0.0570526,33.0479
-3.6,0.00170541,5.0,0.0589391,34.5601
-3.5,0.0016797,5.0,0.0607499,36.1671
-3.3,0.0016578,5.0,0.06257,37.7428
-3.2,0.00162145,5.0,0.0643588,39.6921
-3.1,0.00159717,5.0,0.0661666,41.4274
-3.0,0.00156918,5.0,0.0679672,43.3138
-2.8,0.00154143,5.0,0.0696993,45.2173
-2.7,0.00151828,5.0,0.0713862,47.0178
-2.6,0.00149393,5.0,0.073057,48.9026
-2.5,0.0014712,5.0,0.0747013,50.7758
-2.4,0.00143641,5.0,0.0762768,53.1024
-2.2,0.00141522,5.0,0.0778651,55.0198
-2.1,0.00138503,5.0,0.0794025,57.3291
-2.0,0.00135555,5.0,0.0808631,59.6534
-1.9,0.00131939,5.0,0.0822642,62.3502
-1.8,0.00128997,5.0,0.083607,64.8131
-1.6,0.0012612,5.0,0.0849084,67.3235
-1.5,0.0012257,5.0,0.0861525,70.2884
-1.4,0.00119073,5.0,0.0873481,73.3568
-1.3,0.00115827,5.0,0.0884559,76.369
-1.1,0.00112127,5.0,0.0894765,79.7992
-1.0,0.00108558,5.0,0.0904393,83.3097
-0.9,0.00105157,5.0,0.0913499,86.87
-0.8,0.00101278,5.0,0.0922072,91.0437
-0.7,0.000981035,5.0,0.0930059,94.8039
-0.5,0.000944753,5.0,0.0937323,99.2136
-0.4,0.00090686,5.0,0.0943781,104.071
-0.3,0.00087207,5.0,0.0949753,108.908
-0.2,0.000837281,5.0,0.0955252,114.09
-0.1,0.000799447,5.0,0.0960446,120.139
0.1,0.000839806,5.0,0.0965659,114.986
0.2,0.000791353,5.0,0.0969686,122.535
0.3,0.0007537,5.0,0.0973281,129.134
0.4,0.00071748,5.0,0.0976665,136.124
0.5,0.000682692,5.0,0.0980029,143.554
0.7,0.000647187,5.0,0.0983097,151.903
0.8,0.000611683,5.0,0.0985958,161.188
0.9,0.000578207,5.0,0.0988479,170.956
1.0,0.000547416,5.0,0.0990683,180.974
1.2,0.000518118,5.0,0.0992712,191.6
1.3,0.000486731,5.0,0.0994737,204.371
1.4,0.000459103,5.0,0.0996719,217.101
1.5,0.000432728,5.0,0.0998736,230.8
1.6,0.00040516,5.0,0.100026,246.88
1.8,0.000382007,5.0,0.100171,262.223
1.9,0.000355692,5.0,0.100287,281.949
2.0,0.000338208,5.0,0.100441,296.98
