栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00292175,0.0,0.00182859,0.625854
-10.0,0.00276564,0.5,0.00173154,0.62609
-10.0,0.00277853,1.0,0.00175253,0.63074
-10.0,0.00274726,1.5,0.00174514,0.635229
-10.0,0.00276206,2.0,0.00177148,0.641362
-10.0,0.00274929,2.5,0.00177423,0.645341
-10.0,0.00275382,3.0,0.00178555,0.64839
-10.0,0.00276218,3.5,0.00180785,0.654501
-10.0,0.00277948,4.0,0.00183378,0.659757
-10.0,0.00277572,4.5,0.00183354,0.660564
-10.0,0.00279381,5.0,0.00185584,0.664269
-10.0,0.00276695,5.5,0.00184105,0.665372
-10.0,0.00278557,6.0,0.00186996,0.671302
-10.0,0.00279154,6.5,0.00188111,0.673861
-10.0,0.00281254,7.0,0.00189691,0.674447
-10.0,0.00282197,7.5,0.00191366,0.678129
-10.0,0.00282537,8.0,0.00191825,0.678938
-10.0,0.00285551,8.5,0.00195557,0.684841
-10.0,0.00286327,9.0,0.00196737,0.687106
-10.0,0.00288117,9.5,0.00199151,0.691216
-10.0,0.00287765,10.0,0.00199509,0.693305
-9.0,0.00223329,0.0,0.00135265,0.605676
-9.0,0.00223806,0.5,0.00136612,0.610404
-9.0,0.00229505,1.0,0.00141852,0.618078
-9.0,0.00234589,1.5,0.00146556,0.624735
-9.0,0.00237997,2.0,0.00150603,0.632794
-9.0,0.00242932,2.5,0.00155623,0.640603
-9.0,0.00246608,3.0,0.00159986,0.648746
-9.0,0.00249735,3.5,0.00163742,0.655663
-9.0,0.00249908,4.0,0.00166168,0.664917
-9.0,0.00253124,4.5,0.00169345,0.66902
-9.0,0.00253243,5.0,0.00170555,0.673484
-9.0,0.00256018,5.5,0.0017384,0.679015
-9.0,0.00258477,6.0,0.00177268,0.685817
-9.0,0.00259957,6.5,0.00180004,0.692438
-9.0,0.00261377,7.0,0.00182156,0.696909
-9.0,0.00261866,7.5,0.00183801,0.70189
-9.0,0.00264259,8.0,0.00186996,0.707624
-9.0,0.00266604,8.5,0.00190448,0.714348
-9.0,0.0026747,9.0,0.00194698,0.727925
-9.0,0.00271032,9.5,0.00199467,0.735954
-9.0,0.00274046,10.0,0.00203533,0.742696
-8.0,0.00203553,0.0,0.00123438,0.606417
-8.0,0.00205671,0.5,0.00136356,0.662981
-8.0,0.00209956,1.0,0.00149244,0.710835
-8.0,0.00213978,1.5,0.00164219,0.767457
-8.0,0.00218376,2.0,0.00181858,0.832775
-8.0,0.00221688,2.5,0.00200463,0.904257
-8.0,0.00225901,3.0,0.00221082,0.978668
-8.0,0.00228616,3.5,0.00241595,1.05677
-8.0,0.00231421,4.0,0.00261505,1.13
-8.0,0.00232835,4.5,0.00280879,1.20634
-8.0,0.00236857,5.0,0.00302071,1.27533
-8.0,0.00239405,5.5,0.00321379,1.34241
-8.0,0.00242562,6.0,0.00341623,1.40839
-8.0,0.00246035,6.5,0.0036052,1.46532
-8.0,0.00247682,7.0,0.00379495,1.53219
-8.0,0.00248911,7.5,0.00398135,1.59951
-8.0,0.00251417,8.0,0.00418749,1.66556
-8.0,0.00251769,8.5,0.00435774,1.73085
-8.0,0.00254723,9.0,0.00455255,1.78726
-8.0,0.00256382,9.5,0.00473979,1.84872
-8.0,0.0025871,10.0,0.00493204,1.9064
