栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00235956,0.3,0.00143754,0.609241
-9.9,0.00222881,0.3,0.00135444,0.607696
-9.7,0.00217594,0.3,0.00131235,0.603119
-9.6,0.00213608,0.3,0.00129292,0.605277
-9.5,0.00211311,0.3,0.00127981,0.605652
-9.3,0.00208954,0.3,0.00126234,0.604123
-9.2,0.00205134,0.3,0.00123885,0.603922
-9.1,0.00204198,0.3,0.0012317,0.603189
-8.9,0.00201739,0.3,0.00121692,0.603215
-8.8,0.00198827,0.3,0.00119158,0.599305
-8.7,0.00196315,0.3,0.00117555,0.598808
-8.6,0.00193719,0.3,0.00115826,0.597907
-8.4,0.00191022,0.3,0.00114467,0.599235
-8.3,0.00188843,0.3,0.00113406,0.600531
-8.2,0.00185746,0.3,0.00111742,0.601585
-8.0,0.00182888,0.3,0.00111522,0.609783
-7.9,0.00181086,0.3,0.00113811,0.628491
-7.8,0.00177965,0.3,0.00119546,0.671739
-7.6,0.00174778,0.3,0.00133322,0.762808
-7.5,0.00171968,0.3,0.00158854,0.923742
-7.4,0.00168948,0.3,0.00197595,1.16956
-7.2,0.00165553,0.3,0.00247198,1.49317
-7.1,0.00161626,0.3,0.00303114,1.8754
-7.0,0.00158416,0.3,0.00361069,2.27925
-6.8,0.00155862,0.3,0.00416174,2.67014
-6.7,0.00152502,0.3,0.00464996,3.04911
-6.6,0.00147758,0.3,0.0050586,3.42357
-6.5,0.00144846,0.3,0.00540989,3.73493
-6.3,0.00140836,0.3,0.00570312,4.04948
-6.2,0.00136981,0.3,0.00594354,4.33895
-6.1,0.00132595,0.3,0.00614169,4.63192
-5.9,0.00128418,0.3,0.00630419,4.90912
-5.8,0.00125136,0.3,0.00644505,5.15044
-5.7,0.00121346,0.3,0.00656249,5.40808
-5.5,0.00117348,0.3,0.00665566,5.67173
-5.4,0.00113625,0.3,0.00673923,5.93112
-5.3,0.00109889,0.3,0.00680713,6.19455
-5.1,0.00104948,0.3,0.00685578,6.53255
-5.0,0.00100896,0.3,0.0069015,6.84021
-4.9,0.000967728,0.3,0.0069378,7.16916
-4.7,0.000932162,0.3,0.00697166,7.47902
-4.6,0.000896059,0.3,0.00699962,7.81156
-4.5,0.000859599,0.3,0.0070212,8.16799
-4.4,0.000820453,0.3,0.00703729,8.57732
-4.2,0.000785603,0.3,0.00705476,8.98006
-4.1,0.000746338,0.3,0.00706543,9.4668
-4.0,0.000706476,0.3,0.00707276,10.0113
-3.8,0.000671865,0.3,0.00708182,10.5405
-3.7,0.00063803,0.3,0.00708689,11.1075
-3.6,0.000605209,0.3,0.0070913,11.7171
-3.4,0.000574,0.3,0.00709708,12.3643
-3.3,0.000540941,0.3,0.00710024,13.1257
-3.2,0.000509791,0.3,0.00710233,13.9318
-3.0,0.000478522,0.3,0.00710215,14.8418
-2.9,0.000449162,0.3,0.00710454,15.8173
-2.8,0.00041849,0.3,0.00710173,16.9699
-2.6,0.000391219,0.3,0.00710078,18.1504
-2.5,0.0003655,0.3,0.00710221,19.4315
-2.4,0.000338467,0.3,0.0071006,20.9787
-2.3,0.000311316,0.3,0.00709929,22.8041
-2.1,0.00028858,0.3,0.00709744,24.5944
-2.0,0.00026304,0.3,0.0070944,26.9708
-1.9,0.000241677,0.3,0.00709452,29.3554
-1.7,0.000219657,0.3,0.00709351,32.2936
-1.6,0.000197637,0.3,0.00708862,35.8669
-1.5,0.000176572,0.3,0.0070885,40.1451
-1.3,0.000157477,0.3,0.00708874,45.0144
-1.2,0.000138918,0.3,0.00708874,51.0282
-1.1,0.000121195,0.3,0.00708701,58.4761
-0.9,0.000104606,0.3,0.00708671,67.7467
-0.8,8.90906e-5,0.3,0.00708701,79.5483
-0.7,7.50673e-5,0.3,0.00708582,94.3929
-0.5,6.12826e-5,0.3,0.007086,115.628
-0.4,4.96462e-5,0.3,0.00708534,142.717
-0.3,3.86066e-5,0.3,0.00708582,183.539
-0.1,2.76266e-5,0.3,0.00708582,256.485
0.0,1.87949e-5,0.3,0.0070879,377.118
0.1,4.19996e-5,0.3,0.00708772,168.757
0.2,2.42175e-5,0.3,0.00708522,292.566
0.4,2.99263e-6,0.3,0.00708153,2366.32
0.5,4.60754e-5,0.3,0.00707115,153.469
0.6,0.000115294,0.3,0.007046,61.1133
0.8,0.000221688,0.3,0.00700081,31.5796
0.9,0.000367525,0.3,0.00693112,18.8589
1.0,0.000521,0.3,0.00685417,13.1558
1.2,0.0007425,0.3,0.00673357,9.06878
1.3,0.00100368,0.3,0.00658705,6.5629
1.4,0.00113794,0.3,0.00651074,5.72151
1.6,0.00127191,0.3,0.00643492,5.05926
1.7,0.00148087,0.3,0.00631367,4.26349
1.8,0.00168746,0.3,0.00616613,3.65409
1.9,0.00189655,0.3,0.00606222,3.19645
2.1,0.00212085,0.3,0.00594705,2.80409
2.2,0.00207204,0.3,0.00597829,2.88522
2.3,0.0021011,0.3,0.00595796,2.83564
2.5,0.00203427,0.3,0.00598419,2.94169
2.6,0.00191588,0.3,0.0060906,3.17901
2.7,0.00200055,0.3,0.00602592,3.01213
2.9,0.00214012,0.3,0.00594503,2.7779
3.0,0.00237422,0.3,0.00579761,2.4419
