栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00276039,8.0,0.00191157,0.6925
-9.9,0.0027293,8.0,0.00190835,0.699209
-9.7,0.00261634,8.0,0.00180129,0.688477
-9.6,0.00257176,8.0,0.00177518,0.690259
-9.5,0.00253524,8.0,0.00174508,0.688329
-9.3,0.00251364,8.0,0.00173888,0.691778
-9.2,0.00248398,8.0,0.00173542,0.698645
-9.1,0.0024545,8.0,0.00172612,0.703247
-8.9,0.00242562,8.0,0.00172624,0.71167
-8.8,0.00239894,8.0,0.00174168,0.726021
-8.7,0.0023777,8.0,0.00180081,0.757375
-8.6,0.00236028,8.0,0.00191616,0.811836
-8.4,0.002345,8.0,0.00211306,0.901092
-8.3,0.00232853,8.0,0.00244689,1.05083
-8.2,0.00230227,8.0,0.00294119,1.27752
-8.0,0.00228419,8.0,0.00365504,1.60015
-7.9,0.00228264,8.0,0.00461562,2.02205
-7.8,0.00225101,8.0,0.00574729,2.55321
-7.6,0.00222667,8.0,0.00708528,3.18201
-7.5,0.0022127,8.0,0.00857307,3.87448
-7.4,0.00218466,8.0,0.0101585,4.64992
-7.2,0.00217845,8.0,0.01187,5.44883
-7.1,0.00214837,8.0,0.0136189,6.33918
-7.0,0.00212785,8.0,0.0154522,7.26188
-6.8,0.00211114,8.0,0.0173225,8.20528
-6.7,0.00207557,8.0,0.0192085,9.25457
-6.6,0.00205367,8.0,0.0211507,10.299
-6.5,0.00204132,8.0,0.0231193,11.3257
-6.3,0.00200408,8.0,0.0250937,12.5213
-6.2,0.0019934,8.0,0.0271206,13.6052
-6.1,0.00196864,8.0,0.0291506,14.8075
-5.9,0.00193975,8.0,0.0312136,16.0916
-5.8,0.00192901,8.0,0.0332901,17.2576
-5.7,0.00193408,8.0,0.0354106,18.3088
-5.5,0.0019246,8.0,0.0375178,19.4938
-5.4,0.00190735,8.0,0.0396346,20.7799
-5.3,0.0018904,8.0,0.0417512,22.0859
-5.1,0.00186624,8.0,0.0438675,23.5058
-5.0,0.00183861,8.0,0.0459779,25.0069
-4.9,0.00181706,8.0,0.0480841,26.4626
-4.7,0.00177404,8.0,0.0501576,28.2731
-4.6,0.00174635,8.0,0.0522452,29.9168
-4.5,0.0017235,8.0,0.0543159,31.5149
-4.4,0.00169294,8.0,0.056377,33.3012
-4.2,0.00167808,8.0,0.0584414,34.8263
-4.1,0.00165189,8.0,0.0604642,36.603
-4.0,0.00163393,8.0,0.0624781,38.2379
-3.8,0.00162283,8.0,0.0644464,39.7124
-3.7,0.00159478,8.0,0.0664171,41.6466
-3.6,0.00157383,8.0,0.0683836,43.4504
-3.4,0.00155844,8.0,0.0703236,45.1244
-3.3,0.00154155,8.0,0.0722292,46.8549
-3.2,0.00153696,8.0,0.0741173,48.2233
-3.0,0.00151148,8.0,0.0759695,50.2617
-2.9,0.00147925,8.0,0.0777603,52.5674
-2.8,0.0014527,8.0,0.0795615,54.768
-2.6,0.00144404,8.0,0.0813438,56.3307
-2.5,0.00142924,8.0,0.0830747,58.1251
-2.4,0.00140508,8.0,0.0847714,60.3321
-2.3,0.00139314,8.0,0.0864394,62.0465
-2.1,0.00138616,8.0,0.0881027,63.5588
-2.0,0.00136748,8.0,0.0896909,65.5885
-1.9,0.00135101,8.0,0.0912214,67.5209
-1.7,0.00132941,8.0,0.0927332,69.7552
-1.6,0.00130656,8.0,0.09418,72.0824
-1.5,0.00128812,8.0,0.0955947,74.2126
-1.3,0.00127302,8.0,0.0969728,76.1754
-1.2,0.00125189,8.0,0.0983129,78.5316
-1.1,0.0012001,8.0,0.0995375,82.941
-0.9,0.00118184,8.0,0.100739,85.2391
-0.8,0.00116382,8.0,0.101923,87.5763
-0.7,0.00114347,8.0,0.103033,90.1056
-0.5,0.00112801,8.0,0.104099,92.2855
-0.4,0.00111083,8.0,0.105109,94.622
-0.3,0.00108857,8.0,0.10605,97.4214
-0.1,0.00107627,8.0,0.106947,99.3682
0.0,0.00106893,8.0,0.107695,100.75
0.1,0.00106519,8.0,0.108524,101.882
0.2,0.00104436,8.0,0.109235,104.595
0.4,0.0010227,8.0,0.109904,107.465
0.5,0.00100122,8.0,0.110513,110.378
0.6,0.000985285,8.0,0.1111,112.759
0.8,0.000965176,8.0,0.111625,115.652
0.9,0.000948349,8.0,0.112104,118.21
1.0,0.000923525,8.0,0.112536,121.855
1.2,0.000891243,8.0,0.112933,126.714
1.3,0.000869463,8.0,0.113288,130.297
1.4,0.000843208,8.0,0.113616,134.743
1.6,0.00082101,8.0,0.113938,138.778
1.7,0.000799826,8.0,0.114206,142.789
1.8,0.000779359,8.0,0.11445,146.851
1.9,0.000748927,8.0,0.114664,153.104
2.1,0.000714556,8.0,0.114831,160.703
2.2,0.000682095,8.0,0.115002,168.601
2.3,0.000661031,8.0,0.115173,174.232
2.5,0.000631971,8.0,0.115329,182.491
2.6,0.000615382,8.0,0.115467,187.635
2.7,0.000601777,8.0,0.11558,192.065
2.9,0.000668012,8.0,0.115771,173.307
3.0,0.000610608,8.0,0.115822,189.683
