栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00218044,8.0,0.00167646,0.768863
-9.9,0.00193123,8.0,0.00147032,0.761339
-9.8,0.00185644,8.0,0.00139714,0.752591
-9.6,0.00180585,8.0,0.00135726,0.751591
-9.5,0.00176037,8.0,0.00132303,0.751564
-9.4,0.00175015,8.0,0.00131447,0.751061
-9.3,0.00172366,8.0,0.0012933,0.750322
-9.2,0.00171433,8.0,0.00129372,0.754651
-9.0,0.0016902,8.0,0.001277,0.755532
-8.9,0.0016513,8.0,0.00124778,0.755635
-8.8,0.00166317,8.0,0.00125829,0.756561
-8.7,0.00163703,8.0,0.0012394,0.757103
-8.5,0.0016194,8.0,0.00122925,0.759077
-8.4,0.00161988,8.0,0.0012291,0.75876
-8.3,0.00159315,8.0,0.00121102,0.760142
-8.2,0.00156704,8.0,0.00119562,0.76298
-8.1,0.00153622,8.0,0.00117388,0.764135
-7.9,0.0015219,8.0,0.00116232,0.76373
-7.8,0.00151932,8.0,0.00117076,0.770582
-7.7,0.00149276,8.0,0.00116106,0.777794
-7.6,0.00147418,8.0,0.0011979,0.812587
-7.5,0.00145766,8.0,0.00133021,0.912565
-7.3,0.00143926,8.0,0.00161001,1.11864
-7.2,0.00140667,8.0,0.00205419,1.46032
-7.1,0.00138557,8.0,0.00268145,1.93527
-7.0,0.00136174,8.0,0.00346222,2.5425
-6.8,0.0013258,8.0,0.00435259,3.28299
-6.7,0.00130707,8.0,0.00536013,4.10087
-6.6,0.00129049,8.0,0.00646524,5.00991
-6.5,0.00126229,8.0,0.00759562,6.01733
-6.4,0.00125021,8.0,0.00878598,7.0276
-6.2,0.00123105,8.0,0.0100336,8.15044
-6.1,0.00120389,8.0,0.0113084,9.39322
-6.0,0.00119409,8.0,0.0126137,10.5634
-5.9,0.00117821,8.0,0.0139373,11.8292
-5.8,0.00115851,8.0,0.0152698,13.1806
-5.6,0.0011351,8.0,0.0166011,14.6252
-5.5,0.00110534,8.0,0.0179344,16.2252
-5.4,0.00109056,8.0,0.019286,17.6845
-5.3,0.00106913,8.0,0.020639,19.3045
-5.2,0.00105213,8.0,0.0219709,20.8823
-5.0,0.00103274,8.0,0.0232927,22.5543
-4.9,0.00101248,8.0,0.0246002,24.297
-4.8,0.00100525,8.0,0.0259228,25.7874
-4.7,0.00099596,8.0,0.0272169,27.3273
-4.5,0.000980493,8.0,0.0285031,29.0702
-4.4,0.000967514,8.0,0.029772,30.7716
-4.3,0.000955075,8.0,0.0310437,32.5039
-4.2,0.000931694,8.0,0.0322742,34.6403
-4.1,0.000931125,8.0,0.0335179,35.9972
-3.9,0.000906995,8.0,0.0347363,38.2982
-3.8,0.000898512,8.0,0.0359445,40.0045
-3.7,0.00087699,8.0,0.0371159,42.3219
-3.6,0.000864791,8.0,0.0382953,44.2827
-3.5,0.000852082,8.0,0.0394745,46.3271
-3.3,0.000834906,8.0,0.0406013,48.6298
-3.2,0.000831609,8.0,0.0417204,50.1683
-3.1,0.000816352,8.0,0.0428253,52.4594
-3.0,0.000804032,8.0,0.0439099,54.6121
-2.8,0.00079456,8.0,0.044985,56.6162
-2.7,0.000779962,8.0,0.046039,59.0272
-2.6,0.000772469,8.0,0.0470869,60.9564
-2.5,0.000760299,8.0,0.0481172,63.2872
-2.4,0.000753825,8.0,0.0491398,65.1873
-2.2,0.000738687,8.0,0.0501505,67.8914
-2.1,0.000727836,8.0,0.0511524,70.2801
-2.0,0.000709132,8.0,0.0521254,73.5059
-1.9,0.000695973,8.0,0.0530732,76.2576
-1.8,0.000685542,8.0,0.0540002,78.7701
-1.6,0.000676879,8.0,0.0549412,81.1684
-1.5,0.000654189,8.0,0.0558302,85.3426
-1.4,0.000646545,8.0,0.0567133,87.7175
-1.3,0.000629969,8.0,0.0575779,91.398
-1.2,0.000625143,8.0,0.0584754,93.5392
-1.0,0.000615222,8.0,0.0593209,96.4219
-0.9,0.000601133,8.0,0.0601332,100.033
-0.8,0.000584348,8.0,0.060926,104.263
-0.7,0.000572777,8.0,0.0617416,107.793
-0.5,0.000563305,8.0,0.062514,110.977
-0.4,0.000549577,8.0,0.0632717,115.128
-0.3,0.000541274,8.0,0.064016,118.269
-0.2,0.000537827,8.0,0.0647625,120.415
-0.1,0.000524938,8.0,0.0654028,124.591
0.1,0.000534203,8.0,0.0660683,123.676
0.2,0.000523023,8.0,0.0667338,127.592
0.3,0.000509025,8.0,0.0673701,132.351
0.4,0.00050339,8.0,0.0679561,134.997
0.5,0.000494158,8.0,0.0685401,138.701
0.7,0.000481898,8.0,0.0691079,143.408
0.8,0.00046841,8.0,0.0696358,148.664
0.9,0.000452283,8.0,0.0701435,155.088
1.0,0.000437176,8.0,0.0706421,161.587
1.2,0.000422759,8.0,0.071092,168.162
1.3,0.000407921,8.0,0.0715441,175.387
1.4,0.000389817,8.0,0.0719361,184.538
1.5,0.000372791,8.0,0.0723117,193.974
1.6,0.000361701,8.0,0.0726654,200.899
1.8,0.000345934,8.0,0.0730177,211.074
1.9,0.000337931,8.0,0.0733733,217.125
2.0,0.000328909,8.0,0.073674,223.995
