栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.000958083,0.5,0.000846565,0.883603
-9.9,0.000823224,0.5,0.000737818,0.896254
-9.8,0.000779923,0.5,0.000701399,0.899318
-9.6,0.000785688,0.5,0.000707544,0.900541
-9.5,0.00076629,0.5,0.000692527,0.90374
-9.4,0.000738003,0.5,0.000668757,0.906171
-9.3,0.000726502,0.5,0.00065419,0.900466
-9.2,0.000712058,0.5,0.000640791,0.899914
-9.0,0.000696233,0.5,0.000627872,0.901813
-8.9,0.000664312,0.5,0.000594991,0.89565
-8.8,0.000644253,0.5,0.000576676,0.895108
-8.7,0.000627047,0.5,0.000561719,0.895816
-8.5,0.000601372,0.5,0.00053669,0.892443
-8.4,0.000597709,0.5,0.000534652,0.894502
-8.3,0.000595757,0.5,0.000533963,0.896277
-8.2,0.000573656,0.5,0.000512321,0.893081
-8.1,0.00056732,0.5,0.000505247,0.890586
-7.9,0.000555909,0.5,0.000496555,0.893231
-7.8,0.000528553,0.5,0.000469878,0.888989
-7.7,0.000507262,0.5,0.000451114,0.889312
-7.6,0.000496662,0.5,0.000443051,0.892057
-7.5,0.000475822,0.5,0.000432949,0.909897
-7.3,0.000470868,0.5,0.000485015,1.03004
-7.2,0.000449187,0.5,0.000663362,1.47681
-7.1,0.000429938,0.5,0.0010747,2.49966
-7.0,0.000419398,0.5,0.00173629,4.13996
-6.8,0.000405135,0.5,0.00256302,6.32634
-6.7,0.000379941,0.5,0.00346848,9.129
-6.6,0.000350302,0.5,0.0043931,12.5409
-6.5,0.000322736,0.5,0.00522792,16.1988
-6.4,0.000299134,0.5,0.00596163,19.9296
-6.2,0.000279825,0.5,0.00655743,23.434
-6.1,0.000260487,0.5,0.00699023,26.8352
-6.0,0.000249136,0.5,0.00734429,29.479
-5.9,0.000241088,0.5,0.00763639,31.6747
-5.8,0.000225683,0.5,0.0078659,34.8538
-5.6,0.000205264,0.5,0.00795654,38.7625
-5.5,0.00019058,0.5,0.00820248,43.0396
-5.4,0.000178448,0.5,0.00835337,46.8112
-5.3,0.000163794,0.5,0.0084566,51.6295
-5.2,0.000149981,0.5,0.00859895,57.3336
-5.0,0.000141213,0.5,0.00860959,60.9688
-4.9,0.000129291,0.5,0.00867419,67.0904
-4.8,0.000118301,0.5,0.00879603,74.353
-4.7,0.000105929,0.5,0.00885095,83.5555
-4.5,9.69503e-5,0.5,0.00890124,91.8124
-4.4,8.83621e-5,0.5,0.0089317,101.081
-4.3,7.91433e-5,0.5,0.00900948,113.838
-4.2,7.11257e-5,0.5,0.00897546,126.192
-4.1,6.23573e-5,0.5,0.00901955,144.643
-3.9,5.40994e-5,0.5,0.00902243,166.775
-3.8,4.60217e-5,0.5,0.0090548,196.751
-3.7,3.95655e-5,0.5,0.00912239,230.564
-3.6,3.35898e-5,0.5,0.00908939,270.6
-3.5,2.71336e-5,0.5,0.00909494,335.191
-3.3,2.17285e-5,0.5,0.00916478,421.786
-3.2,1.53624e-5,0.5,0.00921804,600.039
-3.1,9.89717e-6,0.5,0.0092018,929.741
-3.0,5.39287e-6,0.5,0.00919274,1704.61
-2.8,4.77613e-8,0.5,0.00916271,191844
-2.7,4.75683e-6,0.5,0.00908693,1910.29
-2.6,8.45036e-6,0.5,0.00921942,1091.01
-2.5,1.19037e-5,0.5,0.00924073,776.291
-2.4,1.52068e-5,0.5,0.00922895,606.896
-2.2,1.84799e-5,0.5,0.00922116,498.983
-2.1,2.10023e-5,0.5,0.00924823,440.344
-2.0,2.37049e-5,0.5,0.0092348,389.573
-1.9,2.57169e-5,0.5,0.00921804,358.443
-1.8,2.74885e-5,0.5,0.00925254,336.597
-1.6,2.91101e-5,0.5,0.00925902,318.069
-1.5,3.03112e-5,0.5,0.00921451,303.997
-1.4,3.16625e-5,0.5,0.00917425,289.751
-1.3,3.28337e-5,0.5,0.00920422,280.328
-1.2,3.36745e-5,0.5,0.00916511,272.168
-1.0,3.41249e-5,0.5,0.00910576,266.836
-0.9,3.4215e-5,0.5,0.0090483,264.454
-0.8,3.46654e-5,0.5,0.00903838,260.732
-0.7,3.5266e-5,0.5,0.00906943,257.172
-0.5,3.56864e-5,0.5,0.00907959,254.427
-0.4,3.57765e-5,0.5,0.00903391,252.51
-0.3,3.58065e-5,0.5,0.00907,253.306
-0.2,3.56564e-5,0.5,0.00901491,252.827
-0.1,3.58666e-5,0.5,0.00907132,252.918
0.1,8.9682e-6,0.5,0.00906281,1010.55
0.2,8.93818e-6,0.5,0.00905693,1013.29
0.3,8.99823e-6,0.5,0.00908708,1009.87
0.4,9.23846e-6,0.5,0.00915384,990.84
0.5,8.84809e-6,0.5,0.00912311,1031.08
0.7,8.24752e-6,0.5,0.00917977,1113.03
0.8,7.76707e-6,0.5,0.00910663,1172.47
0.9,5.66508e-6,0.5,0.0090828,1603.3
1.0,2.2624e-6,0.5,0.00911802,4030.24
1.2,2.76964e-5,0.5,0.00917512,331.275
1.3,9.34285e-5,0.5,0.0090655,97.0314
1.4,0.000227505,0.5,0.00908262,39.9227
1.5,0.000484668,0.5,0.00892675,18.4183
1.6,0.000747626,0.5,0.0087458,11.6981
1.8,0.00102365,0.5,0.00853571,8.3385
1.9,0.00133366,0.5,0.00828926,6.21542
2.0,0.0016643,0.5,0.00809059,4.86126
