栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-3.3,0.000173493,0.0,0.000727177,4.19139
-3.3,0.000192021,0.5,0.00937954,48.8464
-3.3,0.000207786,1.0,0.0185866,89.4507
-3.3,0.000235473,1.5,0.0272879,115.885
-3.3,0.000266282,2.0,0.0352153,132.248
-3.3,0.000314178,2.5,0.0417452,132.871
-3.3,0.00035817,3.0,0.0460634,128.608
-3.3,0.000421681,3.5,0.0484337,114.859
-3.3,0.000493329,4.0,0.0494526,100.243
-3.3,0.00055663,4.5,0.0498628,89.5798
-3.3,0.000593234,5.0,0.0499645,84.2239
-3.3,0.000627257,5.5,0.0500009,79.7136
-3.3,0.000655784,6.0,0.0498425,76.0044
-3.3,0.000694701,6.5,0.0496521,71.4726
-3.3,0.000720977,7.0,0.0495297,68.698
-3.3,0.000748843,7.5,0.0494288,66.0069
-3.3,0.000758542,8.0,0.0493148,65.0126
-3.3,0.000775989,8.5,0.0491577,63.3484
-3.3,0.000802264,9.0,0.0490414,61.1288
-3.3,0.00080842,9.5,0.0487595,60.3146
-3.3,0.000844274,10.0,0.0484765,57.418
-3.3,4.85741e-5,0.0,0.000648705,13.355
-3.3,6.64412e-5,0.5,0.00922407,138.831
-3.3,8.77916e-5,1.0,0.0182847,208.274
-3.3,0.000118241,1.5,0.0268435,227.024
-3.3,0.00015986,2.0,0.0345219,215.951
-3.3,0.00020145,2.5,0.0409962,203.506
-3.3,0.000253009,3.0,0.045422,179.527
-3.3,0.000307421,3.5,0.0478127,155.528
-3.3,0.000384565,4.0,0.0491134,127.712
-3.3,0.000457805,4.5,0.0498382,108.863
-3.3,0.000511376,5.0,0.0501439,98.0568
-3.3,0.000556269,5.5,0.0502209,90.2817
-3.3,0.000612873,6.0,0.0500986,81.7439
-3.3,0.000660108,6.5,0.049886,75.5725
-3.3,0.000676294,7.0,0.049709,73.5021
-3.3,0.000701938,7.5,0.0495642,70.6105
-3.3,0.000728514,8.0,0.0494341,67.8561
-3.3,0.000758452,8.5,0.049289,64.9863
-3.3,0.000780914,9.0,0.0490888,62.8607
-3.3,0.000803796,9.5,0.0488158,60.7316
-3.3,0.000831542,10.0,0.0485142,58.3425
-3.3,3.63825e-5,0.0,0.000640102,17.5937
-3.3,5.33487e-5,0.5,0.00920524,172.549
-3.3,7.58101e-5,1.0,0.0182658,240.942
-3.3,0.000103827,1.5,0.0268857,258.947
-3.3,0.000141153,2.0,0.0346248,245.3
-3.3,0.000184484,2.5,0.0409611,222.031
-3.3,0.000236854,3.0,0.0452864,191.2
-3.3,0.000292737,3.5,0.0476829,162.886
-3.3,0.000359461,4.0,0.0489569,136.195
-3.3,0.000429608,4.5,0.04972,115.733
-3.3,0.000478465,5.0,0.0500439,104.593
-3.3,0.000538823,5.5,0.0501174,93.0127
-3.3,0.000585547,6.0,0.0500221,85.428
-3.3,0.000611792,6.5,0.0498058,81.4097
-3.3,0.000649088,7.0,0.0496398,76.4762
-3.3,0.000675603,7.5,0.0495043,73.2742
-3.3,0.000709265,8.0,0.04941,69.6637
-3.3,0.000743198,8.5,0.0492456,66.2617
-3.3,0.000768001,9.0,0.0490453,63.861
-3.3,0.000782866,9.5,0.0487991,62.3339
-3.3,0.000806198,10.0,0.0484789,60.1327
-3.3,2.76441e-5,0.0,0.000637974,23.0781
-3.3,4.3169e-5,0.5,0.00920707,213.28
-3.3,6.26576e-5,1.0,0.0182386,291.084
-3.3,8.72511e-5,1.5,0.0268722,307.987
-3.3,0.00011731,2.0,0.0345841,294.809
-3.3,0.00015971,2.5,0.0409015,256.099
-3.3,0.000210489,3.0,0.0452657,215.05
-3.3,0.00027466,3.5,0.0476401,173.451
-3.3,0.000348591,4.0,0.0489098,140.307
-3.3,0.000416305,4.5,0.0496366,119.231
-3.3,0.000471138,5.0,0.0499875,106.099
-3.3,0.000523268,5.5,0.0500483,95.6456
-3.3,0.000568161,6.0,0.0499446,87.9057
-3.3,0.000613324,6.5,0.0497611,81.1335
-3.3,0.000652061,7.0,0.0496015,76.0688
-3.3,0.000686083,7.5,0.0494662,72.0994
-3.3,0.000720496,8.0,0.0493745,68.5285
-3.3,0.000736501,8.5,0.0492151,66.8229
-3.3,0.000760674,9.0,0.04903,64.456
-3.3,0.000784697,9.5,0.0487736,62.156
-3.3,0.000811603,10.0,0.0484693,59.7205
-3.3,4.64421e-5,0.0,0.000648735,13.9687
-3.3,6.35284e-5,0.5,0.00922626,145.23
-3.3,8.54794e-5,1.0,0.0182798,213.85
-3.3,0.000113466,1.5,0.0268927,237.011
-3.3,0.00014857,2.0,0.0346364,233.132
-3.3,0.000190069,2.5,0.0409692,215.549
-3.3,0.000241358,3.0,0.0453066,187.715
-3.3,0.000303728,3.5,0.0476787,156.978
-3.3,0.000386367,4.0,0.0489471,126.686
-3.3,0.00046252,4.5,0.0496626,107.374
-3.3,0.000509004,5.0,0.0500034,98.2377
-3.3,0.000547201,5.5,0.0500695,91.5011
-3.3,0.000591433,6.0,0.0499635,84.4787
-3.3,0.00064074,6.5,0.0497748,77.6833
-3.3,0.000676264,7.0,0.0496039,73.3499
-3.3,0.000704761,7.5,0.0494892,70.2213
-3.3,0.000725751,8.0,0.0493819,68.0425
-3.3,0.000752957,8.5,0.0492396,65.395
-3.3,0.000783736,9.0,0.0490472,62.5813
-3.3,0.000810582,9.5,0.0487974,60.2004
-3.3,0.000836767,10.0,0.0484986,57.9595
-3.3,3.77638e-5,0.0,0.000645198,17.0851
-3.3,5.53906e-5,0.5,0.00922766,166.593
-3.3,8.10652e-5,1.0,0.0182886,225.604
-3.3,0.000111604,1.5,0.0269007,241.037
-3.3,0.000146378,2.0,0.034642,236.661
-3.3,0.000196706,2.5,0.0409554,208.206
-3.3,0.000250967,3.0,0.0452513,180.308
-3.3,0.000309223,3.5,0.047608,153.96
-3.3,0.000391532,4.0,0.0488879,124.863
-3.3,0.000459757,4.5,0.0496041,107.892
-3.3,0.000510055,5.0,0.0499389,97.9089
-3.3,0.000569242,5.5,0.0500451,87.9153
-3.3,0.000621251,6.0,0.0499442,80.3929
-3.3,0.000645334,6.5,0.049737,77.0717
-3.3,0.000677975,7.0,0.049569,73.1133
-3.3,0.000701938,7.5,0.0494435,70.4386
-3.3,0.000734459,8.0,0.049345,67.1855
-3.3,0.000751426,8.5,0.0491896,65.4617
-3.3,0.000782385,9.0,0.049,62.629
-3.3,0.000791874,9.5,0.0487097,61.5119
-3.3,0.00081887,10.0,0.0482898,58.9713
-3.3,3.71632e-5,0.0,0.000635006,17.087
-3.3,5.33787e-5,0.5,0.009128,171.005
-3.3,7.89031e-5,1.0,0.0180742,229.068
-3.3,0.000110613,1.5,0.0268365,242.616
-3.3,0.000150612,2.0,0.0345465,229.374
-3.3,0.000198537,2.5,0.040797,205.488
-3.3,0.000248835,3.0,0.045227,181.755
-3.3,0.00031622,3.5,0.0474249,149.974
-3.3,0.000386157,4.0,0.0487517,126.248
-3.3,0.000450808,4.5,0.0495565,109.928
-3.3,0.000503148,5.0,0.0499124,99.2002
-3.3,0.000541615,5.5,0.049995,92.3073
-3.3,0.000587199,6.0,0.0499004,84.9804
-3.3,0.000626416,6.5,0.049715,79.3642
-3.3,0.000671129,7.0,0.049549,73.8293
-3.3,0.000705422,7.5,0.0494158,70.0514
-3.3,0.000726412,8.0,0.0492814,67.8422
-3.3,0.000739564,8.5,0.0491671,66.4812
-3.3,0.000742657,9.0,0.048974,65.9443
-3.3,0.000769082,9.5,0.0487358,63.3688
-3.3,0.000792685,10.0,0.048422,61.0861
-3.0,1.56927e-5,0.0,0.000634227,40.4154
-3.0,2.88753e-5,0.5,0.00924538,320.183
-3.0,4.86942e-5,1.0,0.0183726,377.306
-3.0,7.566e-5,1.5,0.0270752,357.854
-3.0,0.000108151,2.0,0.0350105,323.719
-3.0,0.000143675,2.5,0.0417547,290.619
-3.0,0.000189859,3.0,0.046788,246.436
-3.0,0.000244211,3.5,0.0498772,204.238
-3.0,0.000309944,4.0,0.0515423,166.296
-3.0,0.000371953,4.5,0.0524367,140.977
-3.0,0.000438917,5.0,0.0528775,120.473
-3.0,0.0004842,5.5,0.052959,109.374
-3.0,0.000527081,6.0,0.052831,100.233
-3.0,0.000574106,6.5,0.0526675,91.7383
-3.0,0.00062017,7.0,0.0524991,84.6528
-3.0,0.000655124,7.5,0.0523621,79.927
-3.0,0.000669958,8.0,0.0521807,77.8865
-3.0,0.000694701,8.5,0.0519533,74.7851
-3.0,0.000722448,9.0,0.0516779,71.5317
-3.0,0.000751756,9.5,0.0513489,68.3053
-3.0,0.000783256,10.0,0.050968,65.072
-2.0,1.49966e-5,0.0,0.000621518,41.4439
-2.0,7.39935e-6,0.5,0.00931501,1258.9
-2.0,4.40192e-6,1.0,0.0185601,4216.36
-2.0,1.87857e-5,1.5,0.0274847,1463.06
-2.0,3.4881e-5,2.0,0.0357623,1025.27
-2.0,5.7853e-5,2.5,0.0431765,746.314
-2.0,8.83021e-5,3.0,0.0495023,560.602
-2.0,0.000126408,3.5,0.0545285,431.369
-2.0,0.000174965,4.0,0.0580478,331.768
-2.0,0.000227845,4.5,0.0601672,264.071
-2.0,0.000288233,5.0,0.0612258,212.418
-2.0,0.000360032,5.5,0.0616345,171.192
-2.0,0.000422461,6.0,0.0617261,146.111
-2.0,0.000469366,6.5,0.0616679,131.386
-2.0,0.000514259,7.0,0.0615147,119.618
-2.0,0.000560834,7.5,0.0612322,109.181
-2.0,0.000584496,8.0,0.0608074,104.034
-2.0,0.00060942,8.5,0.0603233,98.9848
-2.0,0.000639118,9.0,0.0598075,93.5782
-2.0,0.000680738,9.5,0.0592826,87.0858
-2.0,0.00069305,10.0,0.0587118,84.7151
-1.0,3.27736e-5,0.0,0.000613635,18.7235
-1.0,3.01311e-5,0.5,0.00935173,310.368
-1.0,2.55667e-5,1.0,0.0186738,730.395
-1.0,1.72488e-5,1.5,0.0277062,1606.27
-1.0,6.97895e-6,2.0,0.0361504,5179.92
-1.0,7.28468e-6,2.5,0.0438261,6016.2
-1.0,2.47914e-5,3.0,0.0505795,2040.2
-1.0,4.76733e-5,3.5,0.056287,1180.68
-1.0,7.50895e-5,4.0,0.0609151,811.233
-1.0,0.000109232,4.5,0.0643553,589.162
-1.0,0.000153645,5.0,0.0665721,433.285
-1.0,0.000206795,5.5,0.0678294,328.003
-1.0,0.000264961,6.0,0.0684707,258.418
-1.0,0.000338801,6.5,0.0687002,202.774
-1.0,0.000396847,7.0,0.0685918,172.842
-1.0,0.000446424,7.5,0.0682303,152.837
-1.0,0.00049417,8.0,0.0677275,137.053
-1.0,0.000529604,8.5,0.0671605,126.813
-1.0,0.000557891,9.0,0.0665528,119.294
-1.0,0.000586928,9.5,0.0659389,112.346
-1.0,0.000616116,10.0,0.065307,105.998
