栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00131006,0.2,0.000955062,0.729022
-9.9,0.00109694,0.2,0.000776634,0.708
-9.8,0.0010262,0.2,0.000718739,0.700389
-9.6,0.000985169,0.2,0.000679462,0.689691
-9.5,0.000952467,0.2,0.000653157,0.685753
-9.4,0.000921323,0.2,0.000629525,0.683284
-9.3,0.000898932,0.2,0.000612499,0.681363
-9.2,0.000873993,0.2,0.000589557,0.674556
-9.0,0.000847705,0.2,0.000567997,0.670041
-8.9,0.000819799,0.2,0.000549709,0.670541
-8.8,0.0008064,0.2,0.000537188,0.666156
-8.7,0.000765605,0.2,0.000501544,0.655095
-8.5,0.000749238,0.2,0.00048665,0.649527
-8.4,0.000726667,0.2,0.000468813,0.645155
-8.3,0.000710301,0.2,0.000457733,0.644421
-8.2,0.000693935,0.2,0.000447853,0.645382
-8.1,0.000685153,0.2,0.000438875,0.64055
-7.9,0.000669356,0.2,0.00042275,0.631577
-7.8,0.000650082,0.2,0.000407195,0.626375
-7.7,0.000635155,0.2,0.000397255,0.625446
-7.6,0.000616151,0.2,0.000383563,0.622515
-7.5,0.000608597,0.2,0.000376296,0.618301
-7.3,0.000590942,0.2,0.000375455,0.63535
-7.2,0.000577993,0.2,0.000409597,0.708654
-7.1,0.000559049,0.2,0.000501544,0.897138
-7.0,0.000539146,0.2,0.000657181,1.21893
-6.8,0.000512768,0.2,0.000853717,1.66492
-6.7,0.000491546,0.2,0.00107608,2.18917
-6.6,0.000469365,0.2,0.00131045,2.79196
-6.5,0.000448352,0.2,0.00153395,3.42131
-6.4,0.00042722,0.2,0.00173688,4.06554
-6.2,0.00040375,0.2,0.00192128,4.75859
-6.1,0.000382768,0.2,0.00208323,5.44254
-6.0,0.000367181,0.2,0.00222757,6.06668
-5.9,0.000348177,0.2,0.00234868,6.74565
-5.8,0.000328574,0.2,0.0024533,7.46651
-5.6,0.000313826,0.2,0.00254302,8.10328
-5.5,0.000299019,0.2,0.00262119,8.76596
-5.4,0.000280224,0.2,0.00268476,9.58076
-5.3,0.000266976,0.2,0.00274334,10.2756
-5.2,0.000248841,0.2,0.00278676,11.199
-5.0,0.000232864,0.2,0.00282769,12.1431
-4.9,0.000219226,0.2,0.00286249,13.0573
-4.8,0.000203759,0.2,0.00289267,14.1965
-4.7,0.000192459,0.2,0.00291856,15.1646
-4.5,0.00017912,0.2,0.0029406,16.4169
-4.4,0.000167789,0.2,0.00295867,17.6333
-4.3,0.000157298,0.2,0.00297723,18.9273
-4.2,0.000146447,0.2,0.00299147,20.427
-4.1,0.000137395,0.2,0.00300573,21.8766
-3.9,0.000127473,0.2,0.00301765,23.6729
-3.8,0.000118871,0.2,0.00302891,25.4806
-3.7,0.000110508,0.2,0.00303906,27.5008
-3.6,0.000103254,0.2,0.00304804,29.5198
-3.5,9.59101e-5,0.2,0.0030557,31.86
-3.3,8.90459e-5,0.2,0.00306293,34.3972
-3.2,8.24515e-5,0.2,0.0030699,37.2328
-3.1,7.74457e-5,0.2,0.00307732,39.7352
-3.0,7.19004e-5,0.2,0.00308221,42.8678
-2.8,6.70145e-5,0.2,0.00308798,46.0793
-2.7,6.21586e-5,0.2,0.00309392,49.7746
-2.6,5.80821e-5,0.2,0.00309933,53.3612
-2.5,5.40655e-5,0.2,0.00310431,57.4176
-2.4,5.11879e-5,0.2,0.00310996,60.7558
-2.2,4.72013e-5,0.2,0.00311461,65.9857
-2.1,4.43237e-5,0.2,0.00311915,70.3721
-2.0,4.14761e-5,0.2,0.00312341,75.3063
-1.9,3.89582e-5,0.2,0.00312716,80.2696
-1.8,3.65902e-5,0.2,0.00313098,85.5688
-1.6,3.46119e-5,0.2,0.00313416,90.5515
-1.5,3.29933e-5,0.2,0.00313767,95.1002
-1.4,3.19142e-5,0.2,0.00314218,98.4571
-1.3,3.05354e-5,0.2,0.00314527,103.004
-1.2,2.93064e-5,0.2,0.00314887,107.446
-1.0,2.81674e-5,0.2,0.00315182,111.896
-0.9,2.7418e-5,0.2,0.00315602,115.108
-0.8,2.64888e-5,0.2,0.00315842,119.236
-0.7,2.62789e-5,0.2,0.00316197,120.324
-0.5,2.57694e-5,0.2,0.00316638,122.874
-0.4,2.499e-5,0.2,0.00316491,126.647
-0.3,2.45704e-5,0.2,0.00316974,129.006
-0.2,2.39409e-5,0.2,0.00317134,132.465
-0.1,2.36412e-5,0.2,0.00317518,134.307
0.1,4.40027e-5,0.2,0.00317821,72.2276
0.2,4.32534e-5,0.2,0.00318052,73.5323
0.3,4.28038e-5,0.2,0.00318188,74.3364
0.4,4.10952e-5,0.2,0.00318383,77.4745
0.5,3.62094e-5,0.2,0.00318251,87.8918
0.7,1.78651e-5,0.2,0.00317479,177.709
0.8,4.47813e-5,0.2,0.00313872,70.09
0.9,0.000192255,0.2,0.00304411,15.8337
1.0,0.00046679,0.2,0.00286195,6.13113
1.2,0.000859874,0.2,0.0025941,3.01684
1.3,0.00137127,0.2,0.00224349,1.63607
1.4,0.00196767,0.2,0.00182736,0.928692
1.5,0.00262647,0.2,0.00142804,0.543711
1.6,0.00307747,0.2,0.00109298,0.355155
1.8,0.00344774,0.2,0.000823178,0.238759
1.9,0.00376067,0.2,0.00060301,0.160346
2.0,0.00394094,0.2,0.00049719,0.12616
