栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00203404,5.0,0.0014411,0.708491
-9.9,0.00178705,5.0,0.00124027,0.694032
-9.8,0.00172794,5.0,0.00120382,0.696679
-9.6,0.00168142,5.0,0.00117301,0.697631
-9.5,0.00164173,5.0,0.00115439,0.703155
-9.4,0.00162408,5.0,0.00114274,0.703623
-9.3,0.00159201,5.0,0.0011189,0.702822
-9.2,0.00157117,5.0,0.00110157,0.701114
-9.0,0.00155355,5.0,0.00108304,0.697139
-8.9,0.00152495,5.0,0.00106425,0.697892
-8.8,0.00149324,5.0,0.00104575,0.700323
-8.7,0.0014624,5.0,0.00102773,0.702769
-8.5,0.00144396,5.0,0.00101425,0.702409
-8.4,0.00143488,5.0,0.00100959,0.703606
-8.3,0.0014067,5.0,0.000988304,0.702569
-8.2,0.0013913,5.0,0.000982448,0.706137
-8.1,0.00138485,5.0,0.000974401,0.703615
-7.9,0.00135035,5.0,0.000954672,0.706981
-7.8,0.00132403,5.0,0.00094218,0.7116
-7.7,0.0013026,5.0,0.000934343,0.717291
-7.6,0.00128752,5.0,0.000949837,0.737726
-7.5,0.00125977,5.0,0.00100713,0.799455
-7.3,0.00124655,5.0,0.00118514,0.950736
-7.2,0.00122614,5.0,0.00150599,1.22824
-7.1,0.00119631,5.0,0.00199275,1.66575
-7.0,0.00116412,5.0,0.00261794,2.24886
-6.8,0.00114616,5.0,0.00338721,2.95527
-6.7,0.00113309,5.0,0.00424263,3.7443
-6.6,0.00109691,5.0,0.00518609,4.72791
-6.5,0.00108403,5.0,0.00618859,5.70887
-6.4,0.00106151,5.0,0.00724378,6.82403
-6.2,0.00103966,5.0,0.00833817,8.02009
-6.1,0.00101613,5.0,0.00945441,9.30433
-6.0,0.00099557,5.0,0.0105972,10.6444
-5.9,0.000976716,5.0,0.0117588,12.0391
-5.8,0.000957742,5.0,0.012956,13.5277
-5.6,0.000928127,5.0,0.0141444,15.2397
-5.5,0.000904687,5.0,0.0153438,16.9603
-5.4,0.000881337,5.0,0.0165507,18.7791
-5.3,0.000861074,5.0,0.017784,20.6533
-5.2,0.000846356,5.0,0.0190162,22.4683
-5.0,0.000834996,5.0,0.0202495,24.251
-4.9,0.000807719,5.0,0.0214657,26.5757
-4.8,0.000795489,5.0,0.0227186,28.5593
-4.7,0.000778614,5.0,0.0239448,30.7531
-4.5,0.000760929,5.0,0.025162,33.0675
-4.4,0.000741895,5.0,0.0263768,35.5533
-4.3,0.000722741,5.0,0.0276044,38.194
-4.2,0.000709762,5.0,0.0288215,40.6073
-4.1,0.000703017,5.0,0.0300361,42.7246
-3.9,0.000682814,5.0,0.0312507,45.7675
-3.8,0.000668517,5.0,0.0324434,48.5304
-3.7,0.000656617,5.0,0.03364,51.2323
-3.6,0.000639831,5.0,0.0348242,54.4272
-3.5,0.00062853,5.0,0.0360098,57.2921
-3.3,0.00061726,5.0,0.0371931,60.2552
-3.2,0.000602243,5.0,0.0383507,63.6798
-3.1,0.000583688,5.0,0.0394945,67.6637
-3.0,0.00056924,5.0,0.040642,71.397
-2.8,0.000563785,5.0,0.0417793,74.105
-2.7,0.000547988,5.0,0.0428855,78.2599
-2.6,0.00053444,5.0,0.0439856,82.3022
-2.5,0.000520681,5.0,0.0450737,86.5668
-2.4,0.000508572,5.0,0.046119,90.6833
-2.2,0.000502277,5.0,0.0471508,93.8741
-2.1,0.000481894,5.0,0.0481591,99.9371
-2.0,0.000462531,5.0,0.0491216,106.202
-1.9,0.000446584,5.0,0.0500697,112.117
-1.8,0.000424882,5.0,0.0509882,120.006
-1.6,0.000409745,5.0,0.0518902,126.64
-1.5,0.00039245,5.0,0.0527491,134.41
-1.4,0.000372487,5.0,0.0535778,143.838
-1.3,0.000358129,5.0,0.0543723,151.823
-1.2,0.000341373,5.0,0.0551333,161.505
-1.0,0.000325816,5.0,0.0558587,171.442
-0.9,0.000314156,5.0,0.0565464,179.995
-0.8,0.000300487,5.0,0.0571896,190.323
-0.7,0.000284751,5.0,0.0577895,202.947
-0.5,0.000270453,5.0,0.0583486,215.744
-0.4,0.000255915,5.0,0.0588713,230.042
-0.3,0.000241257,5.0,0.0593491,245.999
-0.2,0.000229118,5.0,0.0597825,260.925
-0.1,0.000216109,5.0,0.0601774,278.459
0.1,0.000224478,5.0,0.0605495,269.735
0.2,0.000212279,5.0,0.0608828,286.806
0.3,0.000201788,5.0,0.0611777,303.178
0.4,0.000190787,5.0,0.0614536,322.106
0.5,0.000180116,5.0,0.0616836,342.466
0.7,0.000171304,5.0,0.0618983,361.336
0.8,0.000161772,5.0,0.0620917,383.822
0.9,0.00015269,5.0,0.0622643,407.782
1.0,0.000143817,5.0,0.0624322,434.109
1.2,0.000135784,5.0,0.0625745,460.839
1.3,0.000127841,5.0,0.062708,490.516
1.4,0.000120587,5.0,0.0628295,521.03
1.5,0.000115132,5.0,0.0629324,546.611
1.6,0.000111415,5.0,0.0630606,565.997
1.8,0.000108567,5.0,0.0631472,581.643
1.9,0.000118309,5.0,0.0632682,534.771
2.0,0.000121756,5.0,0.0633787,520.539
