栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00155586,0.0,0.00117448,0.754875
-10.0,0.00136183,0.5,0.00102058,0.749418
-10.0,0.00135272,1.0,0.001025,0.757733
-10.0,0.0013624,1.5,0.00103695,0.76112
-10.0,0.00138764,2.0,0.00107043,0.771403
-10.0,0.00141321,2.5,0.0010959,0.775469
-10.0,0.00142583,3.0,0.00111995,0.785472
-10.0,0.00145853,3.5,0.00115079,0.789007
-10.0,0.00149735,4.0,0.00119021,0.794878
-10.0,0.00152597,4.5,0.00122123,0.800298
-10.0,0.0015632,5.0,0.00125799,0.804753
-10.0,0.00160325,5.5,0.00129697,0.808963
-10.0,0.00163499,6.0,0.00133651,0.817442
-10.0,0.00166359,6.5,0.00136066,0.817906
-10.0,0.00167692,7.0,0.00137897,0.822323
-10.0,0.00173406,7.5,0.0014451,0.833362
-10.0,0.00182029,8.0,0.00153128,0.841229
-10.0,0.00188159,8.5,0.00159695,0.848724
-10.0,0.00199879,9.0,0.00171007,0.855553
-10.0,0.0020487,9.5,0.00175931,0.858745
-10.0,0.00207808,10.0,0.00179108,0.861892
-9.0,0.000985019,0.0,0.000680573,0.690924
-9.0,0.000950309,0.5,0.000661055,0.695621
-9.0,0.000972999,1.0,0.000692044,0.711248
-9.0,0.00100405,1.5,0.000724505,0.721583
-9.0,0.00104011,2.0,0.000755224,0.7261
-9.0,0.00107836,2.5,0.000794921,0.737157
-9.0,0.00110932,3.0,0.000829123,0.747416
-9.0,0.00115671,3.5,0.000876508,0.75776
-9.0,0.00119952,4.0,0.00092104,0.76784
-9.0,0.00125212,4.5,0.00097359,0.777553
-9.0,0.00129532,5.0,0.00101935,0.786948
-9.0,0.00133285,5.5,0.00105659,0.79273
-9.0,0.00137406,6.0,0.00110097,0.801253
-9.0,0.00143107,6.5,0.00115841,0.809471
-9.0,0.0014713,7.0,0.00119769,0.814035
-9.0,0.00150565,7.5,0.00123922,0.823047
-9.0,0.00155124,8.0,0.00128483,0.82826
-9.0,0.00160909,8.5,0.00134162,0.833776
-9.0,0.00165321,9.0,0.00139104,0.841418
-9.0,0.00170276,9.5,0.00144398,0.848023
-9.0,0.00176226,10.0,0.00150587,0.854511
-8.0,0.000834696,0.0,0.00056046,0.671454
-8.0,0.000813474,0.5,0.00055052,0.676752
-8.0,0.000850133,1.0,0.000590698,0.69483
-8.0,0.000882955,1.5,0.000631687,0.715424
-8.0,0.00092543,2.0,0.000674597,0.728955
-8.0,0.000959781,2.5,0.000713935,0.743852
-8.0,0.0009956,3.0,0.000749878,0.753192
-8.0,0.00103529,3.5,0.000787234,0.7604
-8.0,0.00107153,4.0,0.000830535,0.775093
-8.0,0.00109865,4.5,0.000862635,0.785177
-8.0,0.00113624,5.0,0.000902242,0.794059
-8.0,0.00116819,5.5,0.000934343,0.799821
-8.0,0.00120839,6.0,0.000977764,0.809146
-8.0,0.0012381,6.5,0.00100707,0.8134
-8.0,0.0012895,7.0,0.00105875,0.821055
-8.0,0.00134253,7.5,0.00111373,0.829576
-8.0,0.00138134,8.0,0.00115631,0.837093
-8.0,0.00142484,8.5,0.00119757,0.840494
-8.0,0.00146713,9.0,0.00124231,0.846762
-8.0,0.00151701,9.5,0.00129633,0.85453
-8.0,0.00158047,10.0,0.00135798,0.859225
-7.0,0.000649093,0.0,0.000549529,0.846611
-7.0,0.00066414,0.5,0.0011055,1.66456
-7.0,0.000710511,1.0,0.00119493,1.68179
-7.0,0.000751936,1.5,0.00132339,1.75998
-7.0,0.000796209,2.0,0.00147002,1.84627
-7.0,0.000845577,2.5,0.00161497,1.9099
-7.0,0.000870966,3.0,0.00174175,1.99979
-7.0,0.00090088,3.5,0.00186249,2.06741
-7.0,0.000939847,4.0,0.00200086,2.12892
-7.0,0.000963527,4.5,0.00212626,2.20675
-7.0,0.00100714,5.0,0.00227003,2.25394
-7.0,0.00103445,5.5,0.00240246,2.32245
-7.0,0.00107177,6.0,0.00254978,2.37904
-7.0,0.00110174,6.5,0.00268689,2.43877
-7.0,0.001136,7.0,0.00282781,2.48927
-7.0,0.00117206,7.5,0.00297465,2.53797
-7.0,0.00120303,8.0,0.00311407,2.58852
-7.0,0.00124406,8.5,0.00325788,2.61875
-7.0,0.00128893,9.0,0.00340351,2.64057
-7.0,0.0013374,9.5,0.00354642,2.65173
-7.0,0.00138215,10.0,0.00370179,2.67828
-6.0,0.000410315,0.0,0.000726546,1.7707
-6.0,0.000453268,0.5,0.00511741,11.29
-6.0,0.000517534,1.0,0.00750353,14.4986
-6.0,0.000572118,1.5,0.00824496,14.4113
-6.0,0.000614322,2.0,0.00873319,14.216
-6.0,0.000649423,2.5,0.00916776,14.1168
-6.0,0.000682575,3.0,0.00952708,13.9576
-6.0,0.000718155,3.5,0.00982373,13.6791
-6.0,0.000750707,4.0,0.0100872,13.4369
-6.0,0.000788835,4.5,0.0103367,13.1038
-6.0,0.000822497,5.0,0.010568,12.8487
-6.0,0.000847945,5.5,0.0107832,12.7169
-6.0,0.000873334,6.0,0.0109968,12.5917
-6.0,0.000898332,6.5,0.0112006,12.4682
-6.0,0.000916977,7.0,0.0113955,12.4272
-6.0,0.000951268,7.5,0.0116014,12.1957
-6.0,0.000983071,8.0,0.0117968,11.9999
-6.0,0.00100693,8.5,0.0119905,11.908
-6.0,0.00104326,9.0,0.0121804,11.6753
-6.0,0.00107611,9.5,0.0123663,11.4917
-6.0,0.00110375,10.0,0.0125472,11.3678
